param,material,process,best_system,best_color,best_n,best_median_abs_diff_pct,best_q25_abs_diff_pct,best_q75_abs_diff_pct,best_mean_abs_diff_pct,best_category
rsm,mo58a,hon,FV,green,1,99.8971246248838,99.8971246248838,99.8971246248838,99.8971246248838,>30\%
rsm,mo58a,mf,FV,blue,1,99.9603167250751,99.9603167250751,99.9603167250751,99.9603167250751,>30\%
rsm,mo58a,mr,int,white,1,99.7959768470627,99.7959768470627,99.7959768470627,99.7959768470627,>30\%
rsm,mo58a,tf,int,white,1,99.8441788237137,99.8441788237137,99.8441788237137,99.8441788237137,>30\%
rsm,mo58a,tr,int,white,1,99.8325787394922,99.8325787394922,99.8325787394922,99.8325787394922,>30\%
rsm,mo58a,wedm_f,FV,green,1,99.8845169489964,99.8845169489964,99.8845169489964,99.8845169489964,>30\%
rsm,mo58a,wedm_r,int,blue,1,99.9098977604591,99.9098977604591,99.9098977604591,99.9098977604591,>30\%
rsm,ti6al4v,b,int,white,1,99.9541866153367,99.9541866153367,99.9541866153367,99.9541866153367,>30\%
rsm,ti6al4v,gla,FV,red,1,99.9277716384706,99.9277716384706,99.9277716384706,99.9277716384706,>30\%
rsm,ti6al4v,gri,int,white,1,99.9683129954111,99.9683129954111,99.9683129954111,99.9683129954111,>30\%
rsm,ti6al4v,hon,FV,green,1,99.8759120099217,99.8759120099217,99.8759120099217,99.8759120099217,>30\%
rsm,ti6al4v,mf,int,white,1,99.9457852431996,99.9457852431996,99.9457852431996,99.9457852431996,>30\%
rsm,ti6al4v,mr,int,white,1,99.8647413091183,99.8647413091183,99.8647413091183,99.8647413091183,>30\%
rsm,ti6al4v,tf,int,white,1,99.5643810823246,99.5643810823246,99.5643810823246,99.5643810823246,>30\%
rsm,ti6al4v,tr,int,white,1,99.8433408030131,99.8433408030131,99.8433408030131,99.8433408030131,>30\%
rsm,ti6al4v,wedm_f,FV,green,1,99.868557270378,99.868557270378,99.868557270378,99.868557270378,>30\%
rsm,ti6al4v,wedm_r,int,blue,1,99.8793662099422,99.8793662099422,99.8793662099422,99.8793662099422,>30\%
rt,14301,b,FV,green,1,13.9872726037818,13.9872726037818,13.9872726037818,13.9872726037818,10--30\%
rt,14301,gla,FV,blue,1,8.22470882705584,8.22470882705584,8.22470882705584,8.22470882705584,<10\%
rt,14301,gri,conf,green,1,1.67428435683163,1.67428435683163,1.67428435683163,1.67428435683163,<10\%
rt,14301,hon,FV,blue,1,3.17324243491731,3.17324243491731,3.17324243491731,3.17324243491731,<10\%
rt,14301,mf,int,red,1,1.3365125849178,1.3365125849178,1.3365125849178,1.3365125849178,<10\%
rt,14301,mr,int,blue,1,27.152149698729,27.152149698729,27.152149698729,27.152149698729,10--30\%
rt,14301,tf,FV,blue,1,16.6314543755016,16.6314543755016,16.6314543755016,16.6314543755016,10--30\%
rt,14301,tr,fusion,red,1,10.1364808810439,10.1364808810439,10.1364808810439,10.1364808810439,10--30\%
